表格 1
系统,控制设备,控制参数,数量,
双减系统,,,,
,高压减温减压器减压阀,开度,3,
,高压减温减压器减温水调阀,开度,3,
,低压减温减压器减压阀,开度,1,
,低压减温减压器减温水调阀,开度,1,
,三条线的减温水调门阀位控制,开度,3,
#1汽机,高压进汽调节门,开度,1,
#2汽机,高压进汽调节门,开度,1,
